,tokenId,marketplace,block,token,price,rarity
1789,2362,seaport,17234426,ETH,42.0089,1414368.6112299743
1790,3020,blur,17234412,ETH,42.27755,26497190638.17539
1791,6879,seaport,17234392,ETH,45.77625,88903844.33562253
1792,7438,blur,17234360,,40.92435,38108369.44326719
1793,3490,blur,17234231,ETH,44.76505,982473410.928979
1798,2775,blur,17233701,ETH,40.9741,2002289737.3839357
1799,3408,blur,17233623,ETH,40.966936,13260388469.935204
1800,8475,blur,17233452,ETH,41.28255,69183145.13678567
1802,8203,blur,17233246,,40.06865,2823780.3257324435
1806,1071,x2y2,17232983,ETH,53.5,36987610.061304
1811,1180,x2y2,17232442,ETH,55.0,1563543.8789160957
1814,1744,blur,17231946,ETH,41.28255,726583399.686144
1816,3575,blur,17231656,ETH,49.75,640458071.245724
1822,9898,blur,17231046,ETH,41.2925,39401053.80569257
1823,910,blur,17231046,ETH,41.2925,23412942758.50199
1824,4778,blur,17231046,ETH,41.2925,231662851.6647117
1825,1710,blur,17231046,ETH,41.2925,8335729967.558399
1827,9823,blur,17230797,ETH,40.4999825,28715846.394700795
1831,762,blur,17230551,ETH,42.2875,50924659.846394874
1833,5991,blur,17230515,ETH,42.2875,85916331.59790815
1839,8868,blur,17230350,ETH,43.0000195,4197596878.9472256
1841,9307,blur,17230248,,41.6706,359780762.17891806
1846,7936,seaport,17228887,ETH,53.35,3905327560.153743
1849,4193,seaport,17227368,ETH,53.625,2666247065.4926744
1851,2830,blur,17227161,,42.3225,7273019.07142272
1853,1970,seaport,17225120,WETH,42.2388,71147313.4068928
1854,4856,seaport,17225119,ETH,42.785,255659162.36636162
1859,7140,blur,17224765,,42.984,500230963.60174066
1860,2044,blur,17224718,,43.21285,632705323.7110943
1862,6483,seaport,17224253,WETH,51.0,435600570.3
1869,4142,blur,17223484,ETH,47.76,1720020930.705
1870,9297,seaport,17223390,WETH,46.42,8963863.47459789
1871,3087,seaport,17223127,ETH,47.23265,441853636.49602556
1873,9106,seaport,17222799,ETH,45.76005,6333429649.5
1880,2974,x2y2,17220311,ETH,45.07,111049618.54694399
1884,373,x2y2,17219878,ETH,53.42,16246638888.479998
1885,731,blur,17217872,,45.42175,1007915061.4368001
1886,4682,x2y2,17217747,ETH,47.0,263751552.52766088
1890,342,seaport,17215150,ETH,49.4,75874249.7798947
1893,5612,x2y2,17213449,ETH,48.5,112674270.641856
1894,7013,x2y2,17213429,ETH,49.0,115252486.98143956
1899,2648,seaport,17212877,ETH,48.5,138795690.4220016
1901,6774,blur,17212797,,46.61575,445126036.4494018
1902,7830,blur,17212551,ETH,48.0386,7559903139.333529
1907,7947,blur,17210430,ETH,47.5700545,8180296242.271999
1911,3273,blur,17207767,ETH,50.2000385,71709368.96175835
1915,4855,blur,17207368,,47.1033,129096685.8172032
1916,7634,seaport,17207285,ETH,50.35,45474522.28956001
1922,2951,blur,17205613,,47.2028,317041736.9986943
1925,2903,x2y2,17203676,ETH,50.0,37310458.045932
1928,9968,blur,17202861,ETH,47.959,1819531135.0031905
1931,9030,seaport,17200017,ETH,48.75,20673096.75682707
1932,5746,blur,17199482,ETH,48.2575,487348598.528
1936,8168,seaport,17196654,ETH,2.985,29128092.092025306
1938,1640,blur,17195943,,46.77495,6130298724.026504
1943,5319,blur,17195679,ETH,49.4515,91697646042.24
1958,1191,blur,17191632,ETH,49.9291,262505802.03376314
1959,5119,blur,17191628,,48.4167,4179402056.7000003
1961,7951,blur,17191244,,48.4167,1606927909.2378626
1962,4977,blur,17191063,,48.4167,75466617302.20802
1966,1211,blur,17191051,,48.4167,6892768967.884801
1968,1939,blur,17191051,,48.4167,20550732.239700004
1974,2276,x2y2,17189844,ETH,58.0,155116811817.99997
1987,6973,blur,17189078,,49.3719,37938241359.0576
1992,6386,blur,17187006,,49.3321,63977840.02209603
1994,8260,seaport,17184724,ETH,52.865,910426.7548557719
1995,5699,x2y2,17184649,ETH,57.75,393540.4162515773
1997,2216,x2y2,17184178,ETH,50.75,382961158.97443074
2001,2721,x2y2,17183632,ETH,49.55,5518866127.320001
2005,3095,seaport,17183164,ETH,50.2475,209302517.44550404
2014,6647,blur,17177598,ETH,51.07335,2939491310.5152006
2022,3644,blur,17175814,,50.3271,140848954.169616
2028,6026,blur,17174211,ETH,50.745,78190981.39012158
2030,3473,seaport,17174137,WETH,1.25,1039104110.5020001
2035,231,blur,17173875,,50.29725,55897564.847871594
2039,9027,x2y2,17173793,ETH,55.0,56690269.627782576
2040,7723,x2y2,17173770,ETH,50.8,261168192.5007837
2043,8372,blur,17173180,ETH,50.6256,9820313743.68
2052,9469,seaport,17172978,ETH,48.75,198740925.23781595
2054,4990,blur,17172497,,49.2525,3926163086.1134005
2056,5902,blur,17172489,,49.2525,1824822946.0044
2057,8801,seaport,17172303,WETH,0.9550046,183709937.99743202
2060,2976,seaport,17171779,ETH,48.6525,16997906.194679003
2065,1403,seaport,17171428,ETH,49.5311,98411019.17636928
2069,4974,blur,17170968,ETH,49.152951245,14850793460.88
2071,8653,seaport,17170762,ETH,46.835,361311957.4455865
2075,4908,seaport,17169741,ETH,47.775,7725396.642726039
2076,811,seaport,17168523,ETH,343.96155,12527830.6287288
2079,2788,seaport,17168283,ETH,13.134,36370003.102400005
2080,7692,x2y2,17168163,ETH,48.25,34894558.31800138
2081,1721,seaport,17167995,ETH,48.75,237819158.54647806
2082,279,blur,17167931,ETH,49.74005,362177152.831688
2089,6134,blur,17167810,ETH,47.0635,62488921.31368056
2090,1811,x2y2,17167589,ETH,63.0,700789707960.0
2099,7964,x2y2,17166051,ETH,65.0,76937515.98483455
2100,2120,seaport,17166027,ETH,31.84,249686881.47972086
2103,3820,blur,17163043,ETH,47.09335,315724406.0981472
2104,5315,blur,17162491,ETH,60.7945,165860.39947831954
2105,2835,blur,17161083,,46.09835,19584778.46921904
2106,7041,blur,17160895,ETH,47.11325,45857707.39630079
2121,8378,blur,17160180,,47.29235,532127909.9620915
2123,9446,seaport,17159651,ETH,2.4875,343900272.97196996
2127,2519,blur,17157596,ETH,51.73005,8121206.175775106
2135,3973,blur,17156610,,47.6605,145392096.92381597
2142,2349,blur,17154452,ETH,51.2425,12478132719.360003
2143,5740,seaport,17154146,ETH,48.9725,12866576003.1744
2144,911,seaport,17154079,ETH,49.20275,393836121.40672797
2146,6672,seaport,17151828,WETH,52.0,100726068.26358998
2151,3864,x2y2,17149804,ETH,58.0,27792880.616077498
2153,3676,seaport,17147583,ETH,50.69525,310321175.590272
2154,3867,x2y2,17146807,ETH,55.0,87076858.27692886
2155,368,seaport,17145921,WETH,51.5,444591494.981591
2162,3680,seaport,17142184,WETH,60.00004999999999,464964494.4000001
2163,4042,blur,17142102,ETH,66.665,316351.57339932246
2164,4836,seaport,17140467,ETH,42.785,854472874.0132567
2167,5403,seaport,17139767,ETH,1.4925,446270723.417756
2172,6918,x2y2,17138637,ETH,105.0,44526171.74285279
2173,8690,seaport,17135885,ETH,18.905,73353704.8300056
2174,7075,blur,17135589,ETH,55.27225,666737149.3937281
2183,6603,blur,17133177,,49.66045,25563154.359599996
2187,1447,x2y2,17133024,ETH,100.0,3361681.084507199
2193,2207,x2y2,17131829,ETH,52.0,108407124229.00798
2198,490,x2y2,17129736,ETH,66.0,4551202.0186667275
2199,5853,seaport,17129339,ETH,39.3025,3759759253.7568007
2200,2256,blur,17129210,ETH,53.68025,35705802483.8976
2201,915,blur,17127930,ETH,51.59075,336078188.4238272
2204,2503,blur,17127642,ETH,50.3271,1358365577.1184797
2206,251,blur,17127492,ETH,68.655,939282587.4432
2210,6721,blur,17126608,ETH,53.2325,6279901.81320858
2212,1650,seaport,17125912,ETH,56.7055,457087075.636191
2224,5460,seaport,17120878,ETH,50.7,69222741.69000958
2226,7403,blur,17119790,ETH,210.94,8233856.153994239
2227,3275,x2y2,17119789,ETH,200.0,547279.953546942
2232,3745,seaport,17117072,ETH,50.6825,91984553.73132479
