,tokenId,marketplace,block,token,price
675,5871,blur,17420950,,46.74
676,552,blur,17420950,,46.74
677,7292,blur,17420947,,46.74
678,6408,blur,17420947,,46.74
679,3599,blur,17420946,,46.74
680,7083,blur,17420946,,46.74
681,3883,blur,17420944,,46.74
682,3402,blur,17420944,,46.74
683,2941,seaport,17420916,WETH,0.00455001
684,2941,seaport,17420916,WETH,45.5001
685,5673,blur,17420789,,46.75
686,5101,blur,17420787,,46.75
687,8984,blur,17420785,,46.76
688,3084,blur,17420784,,46.77
689,3391,blur,17420783,,46.77
690,6170,blur,17420783,,46.77
691,9886,blur,17420782,,46.77
692,8152,blur,17420781,,46.77
693,560,blur,17420781,,46.77
694,7116,blur,17420781,,46.77
695,6403,blur,17420780,,46.77
696,4205,blur,17420780,,46.77
697,7116,blur,17420470,,46.73
698,9816,blur,17420466,,46.74
699,8710,blur,17420466,,46.75
700,8152,blur,17420465,,46.75
701,7452,blur,17420465,,46.75
702,7083,blur,17420465,,46.75
703,6408,blur,17420464,,46.75
704,3883,blur,17420464,,46.75
705,3599,blur,17420463,,46.75
706,3402,blur,17420463,,46.75
707,7292,blur,17420459,,46.75
708,1729,blur,17420104,,46.7
709,2844,blur,17420102,,46.7
710,5282,blur,17420056,,46.7
711,7292,blur,17420055,,46.7
712,3013,blur,17419525,,46.7
713,669,blur,17419520,,46.7
714,7116,blur,17419175,,46.68
715,5282,blur,17419142,,46.69
716,7292,blur,17419133,,46.69
717,9816,blur,17418875,,46.68
718,8803,blur,17418874,,46.68
719,7167,blur,17418871,,46.68
720,322,blur,17418870,,46.68
721,7380,blur,17418868,,46.68
722,6408,blur,17418713,,46.69
723,3084,blur,17418709,,46.69
724,2844,blur,17418708,,46.69
725,3013,blur,17418706,,46.69
726,7116,blur,17418704,,46.69
727,8152,blur,17418699,,46.69
728,4205,blur,17418699,,46.69
729,6403,blur,17418696,,46.69
730,669,blur,17418696,,46.69
731,5282,blur,17418693,,46.69
732,8710,blur,17418439,,46.68
733,560,blur,17418435,,46.68
734,3599,blur,17418431,,46.68
735,753,blur,17418421,,46.68
736,7380,blur,17418418,,46.68
737,7292,blur,17418417,,46.68
738,322,blur,17418417,,46.68
739,1729,blur,17418416,,46.68
740,7167,blur,17418403,,46.4466
